GTEx_tissue,CDCP1,MET,EPHA2,ERBB2,EGFR,TFRC,ACKR3,IGF2R,LDLR,SORT1,LRP1,ASGR1
Adipose Tissue,0.856,3.089,3.938,3.656,4.552,4.703,6.172,4.507,4.263,4.869,7.928,1.516
Adrenal Gland,0.501,0.287,2.855,2.61,3.496,4.337,1.541,4.564,6.107,3.231,5.427,1.06
Bladder,2.639,3.217,3.671,5.697,4.182,4.574,5.506,4.463,3.721,4.478,6.766,1.05
Blood,0.208,0.029,0.084,1.211,0.043,3.187,0.696,4.553,1.949,2.433,2.68,2.069
Blood Vessel,0.595,1.856,3.186,5.689,4.148,4.591,6.236,4.471,3.772,6.621,7.889,0.903
Bone Marrow,4.149,1.409,0.299,2.336,0.057,8.027,0.098,5.022,6.26,5.928,0.852,1.604
Brain,0.202,0.485,1.208,2.637,2.098,3.853,2.417,2.254,2.781,4.895,5.832,2.647
Breast,1.836,3.18,3.935,4.984,4.587,4.187,5.743,4.24,4.291,4.353,7.53,1.521
Cervix Uteri,0.555,2.299,3.801,5.387,4.452,4.174,4.744,4.302,4.425,4.106,7.727,1.512
Colon,0.911,2.144,2.852,4.994,3.583,4.777,4.705,4.151,4.074,4.237,6.496,0.993
Esophagus,1.257,1.678,3.322,5.153,4.438,4.559,4.964,4.123,4.975,4.878,6.429,1.137
Fallopian Tube,1.475,1.926,3.584,5.297,4.147,5.31,4.937,4.074,5.328,4.103,7.206,1.993
Heart,0.151,1.35,2.729,4.573,1.934,3.738,4.274,3.416,2.848,4.282,5.633,0.433
Kidney,1.644,2.567,3.243,5.6,2.492,3.512,2.357,3.295,3.138,3.902,4.095,0.748
Liver,0.157,2.975,2.652,3.536,3.815,3.475,2.58,3.427,4.662,1.441,6.588,8.949
Lung,2.358,2.819,4.146,5.3,3.998,6.213,4.551,4.921,6.157,5.299,7.425,2.487
Muscle,0.151,2.359,1.575,3.385,2.708,3.53,3.755,5.155,1.353,5.166,4.105,0.202
Nerve,0.566,3.512,4.404,6.643,4.943,4.36,6.099,4.044,4.155,5.413,7.925,1.124
Ovary,0.245,0.491,2.573,4.858,3.631,6.098,3.495,4.392,5.544,2.004,7.889,1.043
Pancreas,1.836,1.727,2.254,4.087,2.585,3.009,3.731,3.029,2.982,2.524,3.557,0.367
Pituitary,1.17,2.272,2.935,3.864,2.043,4.072,4.252,3.707,3.274,3.623,5.969,2.081
Prostate,2.562,2.187,3.29,5.995,4.261,3.99,3.883,3.896,4.276,3.836,6.415,1.563
Salivary Gland,3.391,2.962,4.465,6.136,4.519,4.236,3.801,4.271,4.074,4.449,6.167,0.895
Skin,3.765,2.579,4.659,6.252,5.567,4.782,4.733,4.39,4.875,4.03,6.634,1.96
Small Intestine,2.998,1.787,3.524,5.473,3.359,5.002,4.77,4.074,4.308,4.394,6.073,1.251
Spleen,0.642,1.722,2.822,3.04,2.22,4.079,5.679,4.705,3.861,3.518,6.063,2.22
Stomach,2.384,1.838,2.963,4.791,2.843,3.895,3.308,3.586,4.28,3.405,4.846,0.934
Testis,0.848,0.411,1.731,4.336,2.395,4.18,4.187,3.799,2.978,5.345,5.114,5.289
Thyroid,2.932,3.284,4.223,6.317,4.136,4.129,5.803,4.37,3.604,4.869,6.602,2.889
Uterus,2.313,2.055,4.084,5.199,3.956,4.277,4.235,4.604,4.414,4.279,7.663,1.438
Vagina,4.133,2.316,5.658,5.983,4.841,4.498,4.974,4.409,5.035,4.221,7.337,1.322
