Cancer,CDCP1,MET,EPHA2,ERBB2,EGFR,TFRC,ACKR3,IGF2R,LDLR,SORT1,LRP1,ASGR1
ACC,0.501,0.287,2.855,2.61,3.496,4.337,1.541,4.564,6.107,3.231,5.427,1.06
BLCA,2.805,3.068,5.279,5.871,4.11,4.697,5.849,4.329,4.983,4.346,6.533,1.05
BRCA,2.259,3.443,3.839,5.628,4.707,4.36,5.739,4.427,4.366,4.772,7.35,1.287
CESC,1.281,2.299,3.786,5.023,4.288,4.218,4.457,4.255,4.617,4.083,7.395,1.491
CHOL,0.176,3.002,2.718,3.678,3.783,3.407,2.483,3.446,4.678,1.48,6.499,8.956
COAD,1.411,2.205,2.945,5.111,3.612,4.903,4.625,4.204,4.202,4.277,6.353,0.963
DLBC,0.208,0.029,0.084,1.211,0.043,3.187,0.696,4.553,1.949,2.433,2.68,2.069
ESCA,1.281,1.692,3.328,5.153,4.439,4.554,4.944,4.13,4.991,4.878,6.422,1.131
GBM,0.202,0.485,1.208,2.642,2.101,3.858,2.42,2.266,2.784,4.904,5.838,2.648
KICH,2.053,3.831,3.926,6.37,3.189,4.054,3.081,4.175,3.502,4.709,3.95,0.824
KIRC,2.273,4.453,3.722,6.529,3.603,4.188,3.311,4.928,3.508,5.477,4.171,0.599
KIRP,2.081,3.912,3.812,6.54,3.35,4.159,3.198,4.704,3.406,4.993,4.22,0.748
LAML,4.149,1.409,0.299,2.336,0.057,8.027,0.098,5.022,6.26,5.928,0.852,1.604
LGG,0.202,0.485,1.208,2.637,2.098,3.853,2.417,2.254,2.781,4.895,5.832,2.647
LIHC,0.22,3.19,2.907,3.702,3.715,3.239,2.485,3.52,4.974,1.411,6.37,8.928
LUAD,2.485,3.051,4.218,5.352,4.057,6.257,4.515,4.96,6.229,5.368,7.313,2.433
LUSC,2.473,3.028,4.24,5.329,4.017,6.199,4.552,4.952,6.222,5.319,7.319,2.453
OV,0.245,0.491,2.573,4.858,3.631,6.098,3.495,4.392,5.544,2.004,7.889,1.043
PAAD,1.868,1.727,2.254,4.099,2.59,3.016,3.732,3.039,3.011,2.524,3.586,0.367
PCPG,0.496,0.287,2.856,2.599,3.484,4.363,1.561,4.561,6.154,3.22,5.421,1.05
PRAD,2.857,2.353,3.256,6.11,4.299,3.823,3.783,4.012,4.594,3.971,5.943,1.23
READ,1.025,2.165,2.864,5.014,3.595,4.803,4.705,4.167,4.126,4.241,6.417,0.985
SKCM,3.761,2.58,4.659,6.252,5.566,4.782,4.733,4.387,4.874,4.03,6.633,1.96
STAD,2.426,1.901,3.072,4.797,2.878,3.911,3.637,3.685,4.462,3.53,4.928,0.888
TGCT,0.848,0.411,1.731,4.336,2.395,4.18,4.187,3.799,2.978,5.345,5.114,5.289
THCA,3.015,3.366,4.176,6.297,4.126,4.185,5.757,4.396,3.434,4.908,6.395,2.945
THYM,0.214,0.029,0.091,1.214,0.043,3.195,0.7,4.557,1.956,2.438,2.683,2.053
UCEC,2.211,2.167,3.923,5.155,3.845,4.227,4.222,4.538,4.413,4.192,7.521,1.459
UCS,2.313,2.055,4.084,5.199,3.956,4.277,4.235,4.604,4.414,4.279,7.663,1.438
