Cancer,CDCP1,MET,EPHA2,ERBB2,EGFR,TFRC,ACKR3,IGF2R,LDLR,SORT1,LRP1,ASGR1
ACC,0.138,0.934,1.305,1.58,2.351,3.791,2.789,4.74,7.342,2.993,3.82,1.454
BLCA,3.913,3.734,5.149,6.426,3.721,5.409,4.461,4.132,4.326,3.781,5.067,1.22
BRCA,3.674,2.087,2.342,6.821,2.011,5.153,4.03,4.623,4.206,4.874,5.533,0.774
CESC,4.608,3.94,5.513,5.919,4.234,6.066,4.367,4.34,5.269,4.14,5.538,0.907
CHOL,3.238,4.305,3.852,6.203,3.606,4.655,3.288,4.287,5.343,3.891,4.969,4.223
COAD,4.341,4.891,4.931,6.068,3.146,6.507,3.443,4.852,5.44,4.421,5.541,1.738
DLBC,0.941,1.014,1.0,1.876,0.575,5.848,2.046,3.628,2.302,1.433,4.194,1.345
ESCA,5.348,5.033,5.959,6.129,5.3,6.533,4.544,5.427,6.03,4.603,5.916,0.744
GBM,1.592,1.563,2.511,4.311,6.318,5.213,5.442,3.794,3.295,5.611,7.056,2.711
KICH,3.916,5.682,2.055,5.345,3.152,5.117,2.622,4.339,4.569,3.761,3.133,0.459
KIRC,2.488,5.711,4.101,5.199,5.307,4.27,5.758,4.933,2.159,4.16,5.555,1.118
KIRP,2.848,6.376,4.362,6.317,3.711,3.185,2.966,4.763,0.941,4.464,4.956,0.922
LAML,0.782,0.098,0.202,1.674,0.029,7.092,2.573,3.615,4.248,3.121,3.622,1.444
LGG,0.604,0.496,1.428,3.547,5.643,3.979,4.881,3.72,3.31,5.622,7.083,3.65
LIHC,0.239,4.143,2.409,4.273,3.319,3.934,2.727,4.268,4.688,3.014,6.299,8.476
LUAD,3.833,4.998,4.159,6.394,4.023,4.968,3.429,4.817,4.752,4.5,5.624,1.836
LUSC,4.336,4.541,4.558,5.276,4.908,7.101,6.3,5.118,5.236,3.808,5.651,1.313
OV,3.532,2.118,3.986,5.722,2.236,4.98,3.869,3.781,3.471,4.999,4.866,0.722
PAAD,4.525,4.628,5.656,6.11,3.38,4.685,4.164,4.547,5.848,4.419,6.515,1.58
PCPG,0.333,0.782,2.242,2.091,0.757,3.202,3.246,4.465,3.216,4.444,5.524,1.233
PRAD,2.854,1.842,1.864,6.225,3.767,3.152,2.394,4.802,4.591,3.852,5.068,0.669
READ,4.274,5.072,4.778,6.035,3.312,6.467,3.839,5.037,5.248,4.561,5.774,1.895
SKCM,1.22,3.805,3.593,4.325,0.604,4.802,2.257,5.328,3.518,5.904,5.387,1.0
STAD,4.505,4.544,5.191,6.03,3.828,5.662,3.822,4.762,5.341,4.586,5.489,0.945
TGCT,2.149,1.729,2.301,4.58,1.47,4.588,3.155,4.239,3.442,3.667,5.49,1.738
THCA,3.734,6.392,4.495,6.445,4.0,3.449,4.045,5.166,3.109,5.055,4.719,2.039
THYM,0.454,2.759,2.539,3.234,3.738,3.515,2.183,4.415,2.011,2.998,4.598,0.956
UCEC,3.801,3.249,3.546,6.003,2.362,5.351,3.424,4.314,3.915,4.559,4.516,1.077
UCS,1.88,3.133,3.681,5.757,2.895,4.723,4.467,4.532,2.84,3.97,6.289,2.568
