Cancer,CDCP1,MET,EPHA2,ERBB2,EGFR,TFRC,ACKR3,IGF2R,LDLR,SORT1,LRP1,ASGR1
ACC,-0.363,0.647,-1.55,-1.03,-1.146,-0.547,1.248,0.176,1.235,-0.238,-1.608,0.394
BLCA,1.107,0.666,-0.13,0.555,-0.389,0.712,-1.388,-0.198,-0.657,-0.564,-1.467,0.171
BRCA,1.415,-1.355,-1.497,1.192,-2.696,0.793,-1.709,0.197,-0.161,0.102,-1.817,-0.513
CESC,3.327,1.642,1.727,0.896,-0.054,1.848,-0.09,0.085,0.651,0.057,-1.857,-0.584
CHOL,3.061,1.303,1.134,2.525,-0.177,1.248,0.806,0.84,0.666,2.411,-1.53,-4.733
COAD,2.929,2.686,1.986,0.957,-0.467,1.605,-1.182,0.648,1.238,0.144,-0.812,0.774
DLBC,0.733,0.986,0.916,0.665,0.533,2.661,1.35,-0.926,0.353,-1.0,1.514,-0.724
ESCA,4.067,3.342,2.631,0.976,0.861,1.979,-0.4,1.297,1.039,-0.275,-0.505,-0.387
GBM,1.39,1.078,1.303,1.669,4.217,1.355,3.023,1.528,0.51,0.707,1.218,0.063
KICH,1.863,1.851,-1.871,-1.025,-0.037,1.063,-0.459,0.165,1.067,-0.948,-0.816,-0.364
KIRC,0.215,1.258,0.379,-1.33,1.704,0.082,2.447,0.005,-1.35,-1.316,1.384,0.518
KIRP,0.767,2.465,0.55,-0.223,0.362,-0.974,-0.232,0.059,-2.465,-0.529,0.736,0.174
LAML,-3.366,-1.311,-0.097,-0.663,-0.028,-0.936,2.475,-1.408,-2.012,-2.806,2.77,-0.16
LGG,0.402,0.01,0.22,0.91,3.545,0.126,2.464,1.466,0.529,0.727,1.251,1.002
LIHC,0.019,0.954,-0.498,0.571,-0.396,0.694,0.241,0.748,-0.286,1.603,-0.071,-0.452
LUAD,1.348,1.946,-0.059,1.042,-0.033,-1.289,-1.086,-0.144,-1.477,-0.868,-1.69,-0.597
LUSC,1.864,1.513,0.317,-0.053,0.891,0.902,1.748,0.166,-0.985,-1.511,-1.668,-1.14
OV,3.288,1.627,1.414,0.864,-1.395,-1.118,0.374,-0.611,-2.073,2.996,-3.023,-0.32
PAAD,2.657,2.901,3.403,2.011,0.79,1.669,0.432,1.507,2.837,1.895,2.929,1.213
PCPG,-0.162,0.496,-0.614,-0.508,-2.727,-1.162,1.686,-0.097,-2.938,1.224,0.103,0.183
PRAD,-0.003,-0.511,-1.392,0.114,-0.531,-0.671,-1.389,0.79,-0.003,-0.119,-0.875,-0.561
READ,3.248,2.907,1.914,1.021,-0.283,1.664,-0.866,0.87,1.121,0.32,-0.643,0.91
SKCM,-2.541,1.225,-1.066,-1.927,-4.962,0.02,-2.476,0.94,-1.356,1.874,-1.246,-0.96
STAD,2.078,2.643,2.119,1.233,0.951,1.751,0.185,1.077,0.878,1.056,0.561,0.057
TGCT,1.301,1.317,0.57,0.244,-0.925,0.409,-1.031,0.44,0.464,-1.678,0.376,-3.552
THCA,0.719,3.026,0.319,0.148,-0.126,-0.737,-1.712,0.77,-0.326,0.147,-1.676,-0.906
THYM,0.24,2.73,2.448,2.02,3.695,0.319,1.482,-0.142,0.055,0.56,1.916,-1.097
UCEC,1.59,1.083,-0.377,0.849,-1.483,1.125,-0.798,-0.224,-0.498,0.367,-3.005,-0.382
UCS,-0.434,1.078,-0.403,0.558,-1.061,0.446,0.231,-0.072,-1.574,-0.309,-1.374,1.13
