sample,study,group,cancer_abbr,tissue,sample_type,CDCP1,MET,EPHA2,ERBB2,EGFR,TFRC,ACKR3,IGF2R,LDLR,SORT1,LRP1,ASGR1
GTEX-S4Q7-0003-SM-3NM8M,GTEX,Normal_GTEx,,Blood,Cell Line,3.6053,0.0566,0.2869,2.86,0.2388,8.1377,5.504,5.4203,2.9672,1.111,1.2449,0.2987
TCGA-19-1787-01,TCGA,Tumor_TCGA,GBM,Brain,Primary Tumor,1.4436,1.0976,2.0036,6.2959,5.604,5.3771,4.8535,4.7192,3.3045,6.8326,6.6131,1.7268
TCGA-S9-A7J2-01,TCGA,Tumor_TCGA,LGG,Brain,Primary Tumor,0.3896,0.0976,1.531,3.8074,6.5065,4.5223,4.2441,4.4495,3.6393,4.6387,7.4861,4.5422
GTEX-QV31-1626-SM-2S1QC,GTEX,Normal_GTEx,,Blood Vessel,Normal Tissue,0.2141,1.9336,2.5945,5.2653,4.5558,5.7813,6.9386,4.8424,6.3291,6.9609,7.8681,0.864
TCGA-G3-A3CH-11,TCGA,Normal_TCGA,LIHC,Liver,Solid Tissue Normal,0.3334,3.5008,2.2234,4.3356,3.3219,1.6461,1.4168,3.3882,3.4463,1.3334,6.0074,8.8
TCGA-B5-A5OE-01,TCGA,Tumor_TCGA,UCEC,Endometrium,Primary Tumor,4.7115,5.3452,4.7065,7.9821,2.5607,7.1786,3.1635,4.2645,3.0286,4.257,3.846,1.6369
GTEX-13QIC-0011-R1a-SM-5O9CJ,GTEX,Normal_GTEx,,Brain,Normal Tissue,0.2141,0.2987,1.0286,2.4906,2.144,3.5729,2.5509,2.3161,3.9874,6.7154,4.8743,1.1954
TCGA-B2-5641-11,TCGA,Normal_TCGA,KIRC,Kidney,Solid Tissue Normal,3.2794,4.9932,4.1842,7.4835,4.8145,4.1803,4.0303,5.8094,2.3132,6.7321,4.3197,0.3448
GTEX-ZPCL-0126-SM-4WWC8,GTEX,Normal_GTEx,,Thyroid,Normal Tissue,3.3075,3.5173,4.5248,6.6548,4.0678,4.6011,5.8089,4.3632,3.2972,5.1387,6.5195,3.1473
TARGET-20-PANGDN-09,TARGET,other,,White blood cell,Primary Blood Derived Cancer - Bone Marrow,0.848,0.0426,0.0976,0.4436,0.0426,3.617,1.7225,3.5008,5.0,3.9964,4.0909,2.0143
GTEX-S33H-1226-SM-4AD69,GTEX,Normal_GTEx,,Pancreas,Normal Tissue,1.9298,2.1985,1.9855,3.7463,2.4302,2.9818,3.8166,2.6392,2.5631,1.9486,3.4181,0.3561
GTEX-X88G-0426-SM-47JZ5,GTEX,Normal_GTEx,,Blood Vessel,Normal Tissue,0.7049,2.2839,3.4409,6.1179,3.8289,4.067,6.8706,5.4838,5.1243,5.9604,7.9342,1.2987
TCGA-C8-A1HL-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,3.2219,3.1555,2.0772,7.7698,1.2265,4.1408,4.4403,3.6358,4.0678,4.8253,4.926,0.263
TCGA-EW-A2FS-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,1.5993,2.1505,2.2839,6.4739,1.5898,3.3191,5.9334,3.0738,4.3385,4.116,4.7718,0.3896
GTEX-ZAKK-0326-SM-5EGHA,GTEX,Normal_GTEx,,Muscle,Normal Tissue,0.3674,2.8339,2.3045,4.7797,2.7677,3.0565,4.5754,5.0587,1.4168,4.9458,6.079,0.4005
GTEX-1399S-1726-SM-5L3DI,GTEX,Normal_GTEx,,Lung,Normal Tissue,2.2234,3.5097,4.1169,5.6735,5.153,5.7417,3.8953,5.3111,6.0414,5.9071,7.114,2.5849
GTEX-ZF29-0926-SM-4WKFZ,GTEX,Normal_GTEx,,Skin,Normal Tissue,3.9909,2.3923,4.2426,6.6893,5.8713,4.4899,3.3923,4.627,4.4039,3.6769,5.465,2.8217
TCGA-IR-A3L7-01,TCGA,Tumor_TCGA,CESC,Cervix,Primary Tumor,3.5147,2.8894,5.6162,6.9781,4.8703,4.9164,4.0789,4.9462,3.925,5.0938,5.9795,0.4114
TCGA-05-4420-01,TCGA,Tumor_TCGA,LUAD,Lung,Primary Tumor,3.2265,3.6893,3.0286,6.3219,2.8816,5.903,3.511,4.3377,3.1731,4.9345,4.8053,1.541
TCGA-91-6840-01,TCGA,Tumor_TCGA,LUAD,Lung,Primary Tumor,1.9184,3.536,3.4303,6.3696,4.3356,5.8772,3.2464,5.3802,3.5496,5.3244,6.285,1.903
GTEX-13W3W-2626-SM-5SIA2,GTEX,Normal_GTEx,,Muscle,Normal Tissue,0.0566,2.131,0.9411,2.707,1.8115,6.0792,4.7301,5.6484,0.696,4.7339,2.9763,0.3334
GTEX-WQUQ-2526-SM-4MVNO,GTEX,Normal_GTEx,,Colon,Normal Tissue,2.3896,2.5033,3.2,5.0811,3.6404,4.6112,4.5454,4.2009,3.5583,4.0968,6.8581,1.4957
TCGA-R6-A8WC-01,TCGA,Tumor_TCGA,ESCA,Esophagus,Primary Tumor,5.8355,6.3761,5.5457,10.6075,4.6531,7.9527,4.0738,5.5202,6.144,5.0391,6.0798,0.903
GTEX-P44H-0526-SM-2XCF1,GTEX,Normal_GTEx,,Nerve,Normal Tissue,0.3674,3.6462,3.8318,6.4519,5.5527,5.0054,6.1056,3.855,1.9855,5.8848,7.5027,0.848
TCGA-B6-A402-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,3.8679,2.8115,2.5705,5.9284,2.2419,5.2619,3.0018,3.6473,3.4995,5.2388,5.096,0.516
TCGA-DX-A3U8-01,TCGA,Tumor_TCGA,SARC,"Soft tissue,Bone",Primary Tumor,2.7377,4.2616,3.7697,5.3327,0.8718,3.1985,3.8135,4.6195,3.2188,7.1202,8.0296,1.9635
TCGA-GL-8500-01,TCGA,Tumor_TCGA,KIRP,Kidney,Primary Tumor,0.275,5.8868,4.0653,6.5749,3.8689,2.7463,3.4114,4.462,0.687,3.8217,4.2086,0.3103
TCGA-D5-6929-01,TCGA,Tumor_TCGA,COAD,Colon,Primary Tumor,3.3757,4.5085,4.0339,6.1721,2.7247,6.5772,4.0436,4.7115,5.0505,4.1922,5.8304,1.8639
GTEX-11ONC-2326-SM-5HL6P,GTEX,Normal_GTEx,,Nerve,Normal Tissue,0.5558,3.144,4.4005,6.5536,4.8778,4.9579,6.0211,3.7517,4.669,4.9444,8.0778,1.4006
GTEX-TSE9-0126-SM-3DB83,GTEX,Normal_GTEx,,Skin,Normal Tissue,3.6611,2.5261,4.8575,6.4484,6.5303,5.1123,4.5078,4.0357,4.0285,3.9193,5.541,2.0215
GTEX-R55F-0226-SM-48FCI,GTEX,Normal_GTEx,,Nerve,Normal Tissue,0.6781,3.5135,4.3618,6.6985,4.7623,3.5046,4.9326,4.5085,4.2928,5.3338,8.1383,1.8032
TCGA-EJ-7125-01,TCGA,Tumor_TCGA,PRAD,Prostate,Primary Tumor,3.1522,1.1827,1.2016,6.5847,4.0054,3.4957,2.6135,6.5157,4.5999,4.4282,4.6582,0.4751
GTEX-13O3P-0226-SM-5KM3Z,GTEX,Normal_GTEx,,Adipose Tissue,Normal Tissue,0.7485,3.2839,3.7666,2.9837,4.09,4.7048,6.5903,4.3427,4.2578,4.7803,8.1724,1.4383
TCGA-L5-A4OH-01,TCGA,Tumor_TCGA,ESCA,Esophagus,Primary Tumor,5.4731,6.9352,8.0464,6.8754,5.6608,7.8208,3.6253,6.2401,7.629,4.4423,5.9903,0.9561
GTEX-VJYA-0005-SM-3P5ZD,GTEX,Normal_GTEx,,Blood,Normal Tissue,0.0976,0.0144,0.111,0.3674,0.0426,1.0841,0.3448,3.3992,1.516,2.06,3.5546,3.3715
TCGA-AX-A3G6-01,TCGA,Tumor_TCGA,UCEC,Endometrium,Primary Tumor,4.717,3.1843,4.6135,6.2534,2.0942,6.213,4.5951,4.337,3.5898,4.7655,5.3625,1.0072
