bin_mid,Ab_phage,Ab_viral
-14.1,1,2
-13.05,2,11
-12.55,1,7
-12.05,1,9
-11.55,7,6
-11.05,9,16
-10.55,10,13
-10.055,11,16
-9.555,8,20
-9.05,14,5
-8.545,13,11
-8.04,6,21
-7.535,13,16
-7.03,33,26
-6.525,48,51
-6.02,50,37
-5.515,61,55
-5.01,65,51
-4.505,74,79
-4,46,56
-3.495,58,60
-2.985,63,41
-2.48,66,35
-1.975,44,25
-1.47,43,31
-0.967,33,31
-0.4615,31,40
0.0435,26,39
0.5485,31,74
1.0555,28,42
1.56,17,22
2.065,20,16
2.57,23,19
3.075,25,3
3.58,11,4
4.085,4,0
4.59,1,2
7.62,1,0
NA,2,0
-16.65,0,1
-13.55,0,6
5.095,0,1
