"bin_mid","Ab_phage","Ab_viral"
-16.9,6,8
-16.1,8,6
-15.3,9,3
-14.5,19,14
-13.7,22,26
-12.9,16,39
-12.1,11,56
-11.3,17,85
-10.55,15,79
-9.78,8,56
-8.965,11,21
-8.175,3,17
-7.38,28,26
-6.585,52,35
-5.795,63,40
-5.005,77,29
-4.215,84,48
-3.42,98,26
-2.625,60,22
-1.835,19,14
-1.044,11,15
-0.252,16,12
0.54,19,14
1.333,20,19
2.125,28,38
2.915,41,31
3.705,87,26
4.5,72,15
5.295,46,15
6.085,10,25
6.875,9,19
7.665,5,9
8.455,4,8
9.25,2,5
10.025,2,1
10.8,1,1
11.6,1,0
-24,0,5
-23.2,0,8
-22.4,0,15
-21.6,0,12
-20.8,0,15
-20.05,0,7
-19.3,0,13
-18.5,0,9
-17.7,0,7
12.4,0,1
13.2,0,3
NA,0,2
