"bin_mid","Ab_phage","Ab_viral"
-0.901,1,10
-0.885,1,9
-0.8685,1,7
-0.852,3,8
-0.8355,2,20
-0.819,4,23
-0.8025,2,26
-0.786,5,31
-0.7695,5,33
-0.753,9,42
-0.7365,15,44
-0.72,20,32
-0.7035,19,37
-0.687,27,52
-0.6705,24,43
-0.654,40,58
-0.638,44,68
-0.6215,53,53
-0.605,55,75
-0.5885,62,62
-0.572,76,50
-0.5555,74,37
-0.539,84,19
-0.5225,76,22
-0.506,65,25
-0.4895,64,25
-0.473,47,15
-0.4565,32,9
-0.44,34,9
-0.424,20,10
-0.4075,14,5
-0.391,6,0
-0.3745,6,0
-0.358,4,2
-0.3415,5,2
-0.325,1,1
-1.065,0,1
-1.03,0,1
-1.015,0,1
-1.001,0,2
-0.9835,0,2
-0.967,0,7
-0.9505,0,6
-0.934,0,5
-0.9175,0,8
-0.292,0,2
NA,0,1
