"bin_mid","Ab_phage","Ab_viral"
13.5,1,1
14.7,2,0
15.3,2,1
16.5,4,2
17.05,6,4
17.6,12,7
18.2,6,8
18.8,5,14
19.4,10,15
20,16,16
20.6,23,21
21.2,23,33
21.8,18,27
22.4,33,29
23,40,35
23.6,34,55
24.2,43,43
24.8,33,49
25.4,47,52
26,46,43
26.6,58,53
27.2,53,63
27.8,40,45
28.4,55,38
29,45,28
29.6,45,40
30.2,47,37
30.8,55,34
31.4,31,42
32,37,28
32.55,33,24
33.1,28,20
33.7,18,17
34.3,13,12
34.9,11,17
35.5,10,11
36.1,6,11
36.7,2,4
37.3,3,5
37.9,2,3
38.5,3,3
40.9,1,1
14.1,0,1
15.9,0,1
39.1,0,4
40.3,0,1
42.1,0,1
NA,0,1
