"bin_mid","Ab_phage","Ab_viral"
9.315,2,1
10.25,2,2
10.75,1,1
11.25,6,2
11.75,7,2
12.25,7,8
12.75,4,10
13.25,11,17
13.7,16,6
14.15,22,19
14.65,12,28
15.15,17,31
15.65,33,25
16.15,40,30
16.65,34,31
17.15,38,48
17.6,51,53
18.05,53,44
18.55,51,48
19.05,49,50
19.55,45,58
20.05,54,49
20.55,58,57
21.05,54,53
21.5,51,34
21.95,38,32
22.45,44,36
22.95,47,52
23.45,47,32
23.95,32,34
24.45,21,15
24.95,16,21
25.4,11,15
25.85,9,14
26.35,6,11
26.85,5,6
27.35,1,7
27.85,3,3
28.85,2,5
9.78,0,1
28.35,0,2
29.3,0,1
29.75,0,3
31.75,0,2
NA,0,1
