"bin_mid","Ab_phage","Ab_viral"
-108,1,6
-106,1,11
-102,2,8
-100.25,1,18
-98.5,5,21
-96.55,3,23
-94.6,2,37
-92.6,7,25
-90.65,11,37
-88.7,10,52
-86.75,15,37
-84.8,23,35
-82.8,26,49
-80.85,23,44
-78.9,40,55
-76.95,43,74
-75,53,47
-73,51,81
-71.05,63,56
-69.1,63,55
-67.15,86,35
-65.2,66,21
-63.2,81,23
-61.25,73,29
-59.3,67,16
-57.3,44,20
-55.35,41,10
-53.4,29,11
-51.45,26,11
-49.5,17,3
-47.5,11,0
-45.55,5,1
-43.6,3,1
-41.65,7,2
-39.7,1,1
-128,0,1
-122,0,2
-120,0,2
-118,0,2
-116,0,7
-114,0,4
-112,0,6
-110,0,10
-104,0,8
-35.75,0,2
NA,0,1
