"bin_mid","Ab_phage","Ab_viral"
-49.55,2,8
-47.7,1,11
-45.9,1,8
-42.2,6,14
-40.35,4,28
-38.5,5,31
-36.7,7,34
-34.85,4,33
-33,15,33
-31.15,10,44
-29.3,27,37
-27.5,21,44
-25.65,35,47
-23.8,33,52
-21.95,29,50
-20.1,49,52
-18.3,57,55
-16.45,50,60
-14.6,57,59
-12.75,63,54
-10.9,71,38
-9.08,76,24
-7.24,85,18
-5.4,58,20
-3.56,61,24
-1.72,34,15
0.12,44,18
1.96,38,11
3.8,20,8
5.64,12,2
7.48,9,3
9.3,5,1
11.15,5,0
13,3,0
14.85,1,3
16.7,2,1
-67.95,0,1
-66.1,0,1
-64.3,0,2
-62.45,0,1
-60.6,0,4
-58.75,0,3
-56.9,0,4
-55.1,0,14
-53.25,0,6
-51.4,0,6
-44.05,0,16
18.5,0,1
NA,0,1
